Column,source,target
0,Hedevall,Jens Aarup Reimann
0,Hedevall,Johan Vibe
0,Hedevall,Carl Aamodt
1,Jens Aarup Reimann,Hedevall
1,Jens Aarup Reimann,Johan Vibe
1,Jens Aarup Reimann,Carl Aamodt
1,Jens Aarup Reimann,Else Sophie Jensdatter Birkedalen
1,Jens Aarup Reimann,Hans Jacob
1,Jens Aarup Reimann,x
1,Jens Aarup Reimann,x
2,Johan Vibe,Hedevall
2,Johan Vibe,Jens Aarup Reimann
2,Johan Vibe,Carl Aamodt
2,Johan Vibe,Mr. Mouthon
2,Johan Vibe,Catharina Sørensen
3,Carl Aamodt,Hedevall
3,Carl Aamodt,Jens Aarup Reimann
3,Carl Aamodt,Johan Vibe
4,Jens Aarup Reimann,x
5,x,Jens Aarup Reimann
7,Else Sophie Jensdatter Birkedalen,Hans Jacob
7,Else Sophie Jensdatter Birkedalen,x
7,Else Sophie Jensdatter Birkedalen,Jens Aarup Reimann
7,Else Sophie Jensdatter Birkedalen,x
8,Hans Jacob,Else Sophie Jensdatter Birkedalen
8,Hans Jacob,x
8,Hans Jacob,Jens Aarup Reimann
8,Hans Jacob,x
9,x,Else Sophie Jensdatter Birkedalen
9,x,Hans Jacob
9,x,Jens Aarup Reimann
9,x,x
10,x,Else Sophie Jensdatter Birkedalen
10,x,Hans Jacob
10,x,x
10,x,Jens Aarup Reimann
13,Catilina,x
13,Catilina,x
13,Catilina,Christian Lofthuus
13,Catilina,Henning Bie
13,Catilina,Thomas Crawfurd
14,x,Catilina
14,x,x
14,x,Christian Lofthuus
14,x,Henning Bie
14,x,Thomas Crawfurd
15,x,Catilina
15,x,x
15,x,Christian Lofthuus
15,x,Henning Bie
15,x,Thomas Crawfurd
16,Christian Lofthuus,Catilina
16,Christian Lofthuus,x
16,Christian Lofthuus,x
16,Christian Lofthuus,Henning Bie
16,Christian Lofthuus,Thomas Crawfurd
17,Henning Bie,Catilina
17,Henning Bie,x
17,Henning Bie,x
17,Henning Bie,Christian Lofthuus
17,Henning Bie,Thomas Crawfurd
18,Thomas Crawfurd,Catilina
18,Thomas Crawfurd,x
18,Thomas Crawfurd,x
18,Thomas Crawfurd,Christian Lofthuus
18,Thomas Crawfurd,Henning Bie
