files,text,dacy_large,lang
BREV_B1844-1871ht_B18440520PL,"Du maa virkelig undskylde, at jeg først nu besvarer Dit Brev, men her har været saameget at bestille i denne Tid, at det har været mig umuligt før, og af Mangel paa Tid kan jeg heller ikke idag skrive noget langt Brev. – 
Hedevall er vel allerede reist, og han vil vist blive fornøiet, idetmindste er jeg meget vel tilfreds og har aldrig angret at jeg er kommen hid, da Reimann er meget god imod mig, og gjør alt muligt, for at opvække Lyst hos mig til Apotheket, da denne i Begyndelsen ikke var synderlig stor. Hans Kone derimod gjør jeg langtfra ikke saameget af, og vi ere ofte Uvenner, da det er umuligt at gjøre hende Noget tilpas. Reimann er ogsaa Postmester, og Du kan derfor gjerne lade min Broder, Johan, lægge Dine Breve ind i dem han skriver, da Du paa den Maade undgaaer at betale Noget for dem. Du kan tro at Grimstad, og især Omegnen er ganske vakker; og Damerne, endskjøndt ikke saa galante, som Skiens, ere ogsaa ganske antagelige, og Du kan være overbeviist om, at jeg gjør alt for at erhverve mig deres Naade, som ogsaa er temmelig let at erholde. Da Dampskibet passerer Grimstad to Gange ugentlig, haaber jeg, at gjøre en Tour med det til Skien, dersom ellers ingen Hindringer kommer iveien, som jeg dog ikke skulle formode. Jeg har adskillige Spørgsmaale at gjøre Dig, som du maa besvare med næste Post: Først og fremst maa Du sige mig hvorledes 
J: J: optog Efterretningen om hendes Kjærestes Død, og lad mig tillige vide, hvem den Lykkelige er, som har indtaget hans Plads; thi jeg kjender hende for godt til at antage at hun endnu sørger for ham. Dernest maa Du sige mig om Carl Aamodt endnu øver sig i Poesien og hvis dette er Tilfældet maa Du endelig bede ham ikke at forglemme, at sende mig et lille Digt, for at jeg kan see om han har gjordt nogen Fremgang. – Uagtet jeg nok kunde have mere at skrive om, maa jeg dog afbryde af Mangel paa Tid, men Du kan være overbeviist om, næste Gang at faa et længere Brev. – Vær saa god at sende Bogen «Wilhelm Tell» som Hedevall har laant, optill os, da den ikke tilhører mig selv. – Lev vel og hils alle gode Venner fra Din hengivneLad endelig ikke Nogen see dette da det er skrevet i største Hast.","['Hedevall', 'Reimann', 'Reimann', 'Johan', 'Carl Aamodt', 'Hedevall']",da
BREV_B1844-1871ht_B18441006HSte,"Tilgiv at jeg ikke før har besvaret Dit Brev, men det har været mig reent umuligt. I hele Sommer har jeg glædet mig til, at jeg skulde komme hjem til Din Confirmation; men det kan ikke blive noget af, da her fortiden er meget at bestille, og Reimann har just ikke synderlig Lyst til at gjøre noget selv; jeg kan saaledes ikke mundtlig aflægge Dig min Lykønskning til denne Dag; hvortil vistnok ogsaa Du ligesaavel som de fleste andre Smaapiger længes efter, for det er jo saa moersomt at være voxen – idetmindste synes man saaledes her. Iforgaars afbrød en vigtig Begivenhed det ellers saa eensformige Liv her – idet nemmelig en af Byens respectable Handværkere havde Bryllup. Det var ret en Festdag for Mdm Reimann endskjøndt hun rigtignok ikke var med, – et Bryllup er altid en interessant Ting for Damerne, ved Du nok – og naturligviis ogsaa for Mdm R... hun vidste vidt og bredt at fortælle alt hvad man havde talt, gjort og spiist, og det er en sand Fornøielse at høre hende fortælle Noget, da man derved faaer at vide langt mere, end om man selv havde seet det. Forøvrigt veed jeg intet at fortælle Dig, undtagen den høist sørgelige Begivenhed, at Løverdagen den 5te Dennes afgik ved Døden – Reimanns Yndlingskat efter faae Timer iforveien at have født til Verden 2 trivelige Unger, der, skjønt endnu for smaa til fuldkommen at fatte deres Tab, tilligemed Reimann beklage Tabet af en øm Moder og kjærlig Veninde – Den kjære Afdøde, hvis gode Forstand, tilligemed flere Legemsfortrin, udmærkede den fremfor de fleste af dens Lige, var ogsaa en god Musekat, der fangede Rotter og Muus ligesaa let, som Mdm Reimann uddeler et Ørefigen. For denne Gang maa det være nok da Du veed jeg ikke kan Noget med at skrive lange Breve, og maa desuden skrive hjem iaften.Svar mig endelig saasnart Du faaer Tid dertil","['Reimann', 'Mdm Reimann', 'Mdm R', 'Reimanns', 'Reimann', 'Muus', 'Mdm Reimann']",da
BREV_B1844-1871ht_B18450801AWE,"
Jomfru M: Wahl hilses venskabeligst fra",['M: Wahl'],da
BREV_B1844-1871ht_B18461207JCP,"Opfordret af Deres Velbaarenhed til at erklære om jeg vedgaaer eller nægter at være Fader til et af Pigen Else Sophie Jensdatter Birkedalen født Drengebarn, som i Daaben den 25de October sidstleden er kaldet Hans Jacob, maa jeg herved ærbødigst meddele, at jeg ikke, uagtet Pigens Samqvem ogsaa med andre Mandspersoner paa den vedkommende Tid, bestemt tør fralægge mig bemeldte Paternitet, da jeg desværre med hende har pleiet legemlig Omgang, hvortil hendes fristende Adfærd og samtidige Tjeneste med mig hos Apotheker Reimann i lige Grad gav Anledning.Jeg er nu i 20de Aar gl:, eier aldeles Intet, uden nogle tarvelige Klæder, Skoetøi og Linned og skal om kort Tid forlade Grimstad Apothek, ved hvilket jeg som Lærling og altsaa uden nogen anden Løn, end Kosthold og de ovennævnte Fornødenheder, har opholdt mig siden Sommeren 1843. Min endnu levende Fader, til hvem jeg nødsages for det Første at begive mig, er en af de mindre Handelsmænd i Skien og befinder sig i høist maadelige Kaar.Til Vitterlighed:","['Else Sophie Jensdatter Birkedalen', 'Hans Jacob', 'Pigens', 'Reimann', 'Linned']",da
BREV_B1844-1871ht_B18491015OS,"Dit sidste Brev har i dobbelt Henseende glædet mig, – saavel fordi jeg deraf kan love mig en hastig Afgjørelse af vort Forehavende, som især fordi du deri viser dig som en sand Ven, ved at betragte 
min Skrivelse som et Product, der skylder Opbrusning og Overilelse sin Tilbliven. Denne skaanende Opfatningsmaade lader mig haabe, at du har sat dig ind i min Stilling og forestillet dig det Synspunct hvorfra jeg har betragtet Sagen. Jeg haaber at du har tænkt dig den skuffede Forventning hvormed jeg har imødeseet hver Postdag og at denne har sat mig i en høist ubehagelig Stemning, da jeg som Fraværende, jo ikke kunde tænke mig Aarsagen og denne Uvished desuden nødvendigviis maatte fremkalde tusinde Tvivl, hvilke alle vare saameget desto piinligere, da jeg i mit Indre ikke kunde erkjende een af dem som grundet –.Dit Brev har hævet Alt hvad der maatte forekomme mig tvivlsomt ved din Fremgangsmaade og jeg vilde kun slet fortjene dit Venskab, dersom jeg ikke med største Beredvillighed tilbagekaldte Alt hvad der i min Skrivelse kunde hentyde paa fornærmelige Tvivl om dine Hensigters Redelighed. Jeg beder dig derfor fremdeles at oversee det Hele som Noget der ingen Indflydelse har paa vort venskabelige Forhold for Fremtiden og forventer Forsikkring herom i dit næste Brev. – Jeg har idag ikke Tid til at skrive mere, – fra Due skal jeg takke for Guitaren, han venter den med Længsel. Buxetøiet takker jeg ligeledes meget for, – jeg havde ikke tænkt vidre derpaa, og troede at det ligeledes var gaaet dig af Glemme, imidlertid er det meget kjærkommet da jeg fortiden nødes til at spare saameget som muligt. – Af Olaf Tr: er saagodtsom hele første Act færdig, jeg troer det skal
 blive ret heldigt – og haaber at dette Stykke vil skaffe os færre Ubehageligheder end 
C. Lev vel,P. S. Gjør mig den Tjeneste at offre mit sidste Brev til Luerne, jeg ærgrer mig over at vide det i dine Hænder!","['Olaf Tr', 'C.']",da
BREV_B1844-1871ht_B18500105OS,"Gjennem din sidste Skrivelse har jeg modtaget «Catilinas» Dødsdom, – det gjør mig ondt, men det kan ikke nytte at tabe Modet. Du har virkelig Ret i at dette tilsyneladende Nederlag i Grunden ikke er at betragte som et Saadant. 
C. var jo kuns bestemt til at være en Forløber for de Planer vi i denne Retning have aftalt, og den kan endnu ligefuldt opfylde sin Bestemmelse. Jeg er ganske af samme Mening som du, nemlig at det er rigtigst at sælge Stykket, og jeg troer at Stykkets Afviisning, ifølge Directionens Skrivelse snarere vil gavne end skade, da det ikke synes som om Mangel paa indre Gehalt har bevirket at det ikke blev antaget. Salget af Stykket afhandler du naturligviis efter eget Forgodtbefindende, kuns vil jeg bemærke at det forekommer mig bedre at sælge Forlagsretten end at lade det trykke paa eget Forlag, da vi i sidste Tilfælde baade maatte rykke ud med en Deel Penge, forat bestride Trykningen, og desuden først lidt efter lidt vilde komme i Besiddelse af Indtægten, medens vi i første Tilfælde kuns havde at modtage Honoraret, – dog, dette maa lempes efter Omstændighederne. – Nu lidt om min litterære Virksomhed. Af Olaf T. er som jeg nok før har sagt, omtrentlig første Act ferdig; det lille Eenactsstykke «Normannerne» er omarbeidet, eller rettere, skal omarbeides, hvilket jeg fortiden beskjæftiger mig med, og vil i sin nye Skikkelse fremtræde som Iklædning for en mere udvidet Idee, end den for hvilken det oprindelig var bestemt. Et Par Sagn og Skildringer fra Thelemarken har jeg benyttet til nogle mindre Digte, afpassede efter bekjendte Folkemelodier, og har saaledes ogsaa forsøgt mig i national Retning. Ligeledes har jeg halv fuldført en større, maaskee noget overspændt Digtning, betitlet 
«Balminder» der skylder min indbildte Forlibelse fra isommer sin Tilværelse. Men hvad der egentlig maa kaldes mit Hovedværk siden din Bortreise er en nationalhistorisk Novelle som jeg har kaldet 
«Fangen paa Agershuus,» – den omhandler 
Christian Lofthuus’s sørgelige Skjæbne. Denne Mands Liv er dig vistnok bekjendt, hvis ikke, saa følger her et kort Omrids af Samme. C. L levede i Slutningen af forrige Aarhundrede paa Gaarden Lofthuus nærved Lillesand, de danske Embedsmænd huserede her værre end nogensteds og Lofthuus der dengang endnu var en ung Mand og almindelig agtet besluttede at tage sig af sine undertrykte Sognefolk. Han indsamlede Klager over Embedsmændene og begav sig dermed til Kjøbenhavn hvor han personlig fremstillede sig for 
Kongen og talede Folkets Sag saa kraftigt at en Commision blev nedsat og denne afskedigede de mest Forhadte blandt Embedsmændene. Dette var mere end hans Fiender kunde taale, han blev beskyldt for at staa i Underhandling med 
den svenske Konge om at spille denne Norge i Hænderne imod at han selv skulde beholde en Deel deraf som selvstændigt Rige. Som Følge heraf udstædtes Arrestordre mod Lofthuus, men da dette rygtedes stillede hele Skarer af bevæbnede Bønder sig til hans Beskyttelse, han befæstede sin Gaard og udholdt en formelig Beleiring indtil han ved Forræderi lokkedes til en Stad i Nærheden hvor han blev greben og paa en færdigliggende Baad ført til 
Christiania. Her sad han paa Agershuus Fæstning uden Dom i 10 Aar, (indtil 1794.). Hans hemmelige Venner virkede for ham og fremkaldte derved tilsidst hans Benaadning; men
 for sildig, – just da denne ankom havde Døden forløst ham. Dette er det Historiske ved Sagen, hvilket jeg har erfaret af et gammelt Skrift jeg heldigviis er kommen i Besiddelse af, synes du ikke at heraf kan udbringes Noget. – Jeg troer at det er fornødent at forsyne «Catilina» med nogle og beder dig derfor at afskrive og vedlægge følgende«Nærværende Stykke var oprindelig bestemt for Scenen, Theaterdirectionen har imidlertid ikke fundet Stykket skikket hertil. Uagtet Forfatteren har Grund til at antage, at Hovedaarsagerne til Stykkets Afviisning ikke skrive sig fra indre Mangler ved Samme, er det dog ikke uden med en saare naturlig Ængstelse at han fremlægger sit Arbeide for Publicum, hvorhos han dog forventer den skaansomme Bedømmelse, som en Begynders første Fremtræden billigviis kan gjøre Fordring paa.»

NB. lad endelig ingen Trykfeil indsnige sig, – Manuscriptet vil jeg gjerne have tilbage, ligeledes bedes mig sendt 2 Expl: af Stykket naar det bliver ferdigt – –Lidt Nyt – Clara Ebbell er bleven forlovet og det med sin egen Onkel, Henning Bie. – Gamle Ths Crawfurd døde iforgaars, – Due har det meget hyggeligt, og er fortiden const: Undertoldbet: – 
Apothekeren beder mig erindre dig om 
din Faders Medicinregning
 og siger at han vilde være meget taknemlig for en Anviisning paa din Faders Gage for Beløbet 6 Sp 4 
","['Catilinas', 'C.', 'Olaf T.', 'Christian Lofthuus', 'C. L', 'Lofthuus', 'Lofthuus', 'Henning Bie', 'Ths Crawfurd', 'Due']",da
BREV_B1844-1871ht_B18500712KongO1,"Henrik Johan Ibsen ansøger underdanigst om, naadigst at maatte fritages for at erlægge det lovbestemte Gebyhr af 8 Spd til nærmeste Latinskole, for at kunne tilstædes Adgang til Examen artium. –Idet jeg fra Aaret 1843 har været nødsaget til at sørge for min Underholdning, ved at conditionere som Pharmaceut ved Grimstads Apothek, har jeg dersteds indtil Slutningen af forrige Aar, forsaavidt mine Forretninger tillode det, samt ved fra Begyndelsen af indeværende Aar, at læse privat her i Christiania, gjennemgaaet de til Examen artium nødvendige Disciplina, uden i den Tid at have nydt nogen Understøttelse af min Familie.I Henhold til vedlagte Legitimation for min Uformuenhed, vover jeg derfor, underdanigst at ansøge om, naadigst at fritages for at erlægge det ved Forordningen af 7de November 1809 § 108 bestemte Gebyhr.",['Henrik Johan Ibsen'],da
BREV_B1844-1871ht_B18520425NTB,"Herved har jeg den Fornøielse at kunne underrette den ærede Bestyrelse om, at der gjennem 
Prof: Heiberg er aabnet os Adgang til 
Theatrets Forestillinger; hvad Prøverne angaaer, saa troede Professoren ikke, at vi kunde have synderlig Nytte af at frekventere Samme, da der for Øieblikket intet Nyt er under Indstudering. – Saavel Heiberg som 
Herr Overschou har modtaget os med overordentlig Velvillie, og det vil gjennem den Sidstnævnte falde mig let, at faa al den Underretning om Theatrets indre Organisation, som jeg maatte behøve. Med Hensyn til hvad Instruxen forøvrigt paalægger mig, saasom Anskaffelse af en Dandselærer til Bruun og hans Kone, o. s. v, da har jeg endnu ikke kunnet faaet dette arrangeret, men haaber dog at dette i Løbet af næste Uge vil kunne skee, og skal jeg da tillade mig udførligere at tilskrive den ærede Bestyrelse. Min Adresse er: Reverentsgaden No 205, 2den Sal. –","['Heiberg', 'Heiberg', 'Herr Overschou', 'Bruun']",da
BREV_B1844-1871ht_B18520516NTB,"I mit forrige Brev til den ærede Bestyrelse kunde jeg blot i Korthed antyde hvad jeg hersteds ifølge min Instrux havde udrettet; jeg skal dennegang tillade mig at være udførligere.Som Dandselærer for H. Nielsen, samt Bruun og hans Kone har jeg antaget 
Kgl: Solodandser Hoppe, der ansees som den første Dandser blandt Balletpersonalet, og som tillige, efter hvad jeg iforveien forvissede mig om, har den største Øvelse i at informere. Hvad der hovedsagelig bliver gjort til Gjenstand for Dandseunderviisningen er Menuet, samt hvad der forøvrigt kan bidrage til en elegant Optræden paa Scenen, i hvilken Henseende Herr Hoppe har Underviisningsmethoden ved den herværende dramatiske Skole for Øie. Han har beregnet Underviisningen efter et Kursus af tre Uger, i hvilket Tidsrum der dandses en Time daglig, og hvorfor Honoraret for alle Tre tilsammen er ansat til 24 Rbdl eller omtr: 12 Sp norsk, hvilket vistnok ikke kan ansees for ubilligt. – Med Hensyn til det paatænkte Engagement af en Dandser til det øvrige Skuespillerpersonale i Bergen, da skal jeg tillade mig at yttre Følgende: Med Balletmester Bournonville, der strax efter min Ankomst afreiste til Christiania, fik jeg kun løselig tale i Theatret Aftenen før hans Afreise; ved Udløbet af denne Maaned følger den største Deel af Balletpersonalet ham derop. Solodandser Gade, som bliver tilbage her, vilde maaskee ikke være uvillig til i Sommer at seile til Bergen, men Theaterbestyrelsen maatte i dette Fald opstille saadanne Garantier, at han kunde foretage Reisen uden at befrygte noget Pengetab. Efter de Discursioner, som den ærede Bestyrelse vil erindre at være faldne i denne Sag, troer jeg ikke at Bestyrelsen indlader sig herpaa; den havde, saavidt jeg troer, tænkt sig, at vedkommende Dandser maatte søge sine Reiseomkostninger dækkede ved privat Underviisning, og Theatrets Honorar som Erstatning for den Tid han anvendte paa Personalets Underviisning; men paa disse Betingelser vil man ikke kunde faa nogen Dandser engageret, medmindre der gjennem et i Forveien aabnet Abonnement kunde sikkres Vedkommende et bestemt og tilstrækkeligt Honorar for den private Dandseunderviisning; i August Maaned begynder Balletpersonalets Tjenestetid igjen, og da maa Enhver være tilbage; hvis nu Theaterbestyrelsen troer at det her antydede Arrangement vilde kunne træffes uden at Tiden dertil for iaar blev for kort, saa beder jeg mig derom snarest muligt underrettet; i modsat Fald har Herr Hoppe erklæret sig villig til, saafremt betimelig Aftale blev gjort, til næste Aar at reise til Bergen med en Deel af Balletpersonalet, saafremt han, i den Tid Theatret ikke benyttedes, kunde faa samme overladt til der at give et vist Antal Abonnementsforestillinger, hvortil da i Forveien maatte indbydes, hvorhos Theaterpersonalet i den Tid vilde kunne gjennemgaa en fuldstændig Dandseskole. Denne sidstnævnte Ordning af Sagen har nu vistnok sine gode Sider, men et heelt Aar gaaer dog hen, og det vilde vistnok være ønskeligt, om Publicum ogsaa i denne Retning saasnart som muligt sporede de gavnlige Følger, af de Foranstaltninger, som Bestyrelsen iaar til Theatrets Bedste har truffet. Troer derfor Bestyrelsen at kunne stille nogenlunde betryggende Garantier for den Dandser, som iaar maatte ville reise til Bergen, (f: Ex: ved at aabne et foreløbigt Abonnement paa Underviisning i Dands), saa beder jeg mig, som ovenfor sagt, underrettet derom. – Saavel H. Nielsen, som Bruun og hans Kone omfatte Dandseunderviisningen med megen Interesse, og, hvad der er det Bedste, de indsee fuldkommen det Nødvendige ved Samme. – Hvad H. Nielsen angaaer, da ved jeg ikke hvad jeg skal foretage med Hensyn til at skaffe ham fri Entree i Theatret. Ved vor Ankomst hertil var han mod Formodning endnu ikke kommen, og da saavel Bestyrelsens foregaaende Breve til Etatsraad Heiberg, som de Skrivelser vi medbragte, Intet indeholdt angaaende ham, og hans Reise desuden var et aldeles privat Foretagende, som muligens efter vor Afreise fra Bergen kunde være bleven indstillet, saa turde jeg med Hensyn til ham Intet foretage før hans Ankomst, som jeg hver Dag ventede. Denne indtraf imidlertid først efter over 14 Dages Forløb, og da han nu selv, ligeledes mod Formodning, intetsomhelst Skrivteligt medbragte, saa har jeg, med Hensyn til fri Entree i Theatret, ikke kunnet udrette Noget for ham; han har naturligviis imidlertid hver Aften besøgt Theatret, og da Adgangen til Parterret kun koster en Ubetydelighed, saa maa jeg henstille til Bestyrelsen, om den finder det fornødent at skaffe ham den samme Begunstigelse som os, kun maa jeg bemærke at Theatrets Saison ender i den sidste Uge af indeværende Maaned, og han saaledes kun i faa Dage vil kunne gjøre Brug af den fri Adgang, som muligens maatte tilstaaes ham.Med Hensyn til Theatrets indre Indretninger, da bliver jeg gjennem Herr Overskou gjort bekjendt med Samme, saavelsom med Regisseurvæsnet, Maskineriet, o. s. v. – Costumeværker ere ikke at erholde her, dog vil Herr Overskou opgive mig hvilke Udgaver der findes af Saadanne, og hvor de ville kunde erholdes; disse vil jeg altsaa paa min Reise kunne anskaffe; – at opgive noget Bestemt om deres Kostende, kan jeg ikke, dog antager jeg at man for 10–12 Sp maatte kunne faa hvad Bergens Theater tiltrænger. Af nye Stykker har jeg kun kjøbt et, nemlig «For 10 Aar siden,» af Carl Bernhard; – men ogsaa til denne Udgivtspost vil det være nødvendigt at bevilge en lille Sum, da jeg rimeligviis i Tydskland vil forefinde Adskilligt som kunde være værd at anskaffes. Ved Skuespiller Sichlaus Hjælp haaber jeg at kunne skaffe en Deel brugte Musicalier; jeg er imidlertid i denne Sag i nogen Uvished, da jeg er saagodtsom ganske ubekjendt med, hvad Theatret allerede besidder, og jeg saaledes let kan være udsat for at paaføre Samme unødvendige Udgivter; hvis jeg derfor kunde erholde en Fortegnelse over hvad jeg af Musik ikke maa kjøbe, saa vilde det være mig meget kjært. – Hvad mit Reisestipendium angaaer, da har jeg stærk og velbegrundet Frygt for at Samme ikke vil være tilstrækkeligt for mig. Jeg har under 
Opholdet i Hamburg faaet en Forsmag paa, hvad det vil sige at reise i Tydskland; saaledes vilde ogsaa Bruun være kommen i en slem Forlegenhed, dersom han ikke ved vor Reisefælle, Doctor Hofmanns Hjælp, var bleven sat i Stand til at kunne fortsætte Reisen til Kjøbenhavn. Jeg tillader mig derfor at ansøge den ærede Bestyrelse om, at der af min Gage maa blive mig bevilget et Forskud stort 48 Sp, som tilligemed de 12 Sp, jeg ved min Afreise ansøgte om, og som jeg haaber at Bestyrelsen har bevilget, ville kunne fradrages min Gage med 5 Sp. maanedlig. Dersom Bestyrelsen indvilger heri, saa haaber jeg at den godhedsfuldt sørger for at jeg kan have disse Penge her, samtidigt med Honoraret til Herr Hoppe, samt den Pengesum der maatte bestemmes til Anskaffelse af Bøger, Musikalier, o. s. v. – Med Hensyn til Repertoiret have vi været meget heldige. Vi have saaledes seet Hamlet, samt flere af Schakspeares Stykker, ligeledes af Holbergs, – samt «Naar Damer føre Krig», En Søndag paa Amager, Slægtningerne, o. fl: – At vi forresten gjøre os bekjendte med Alt, hvad der kan have kunstnerisk Interesse, følger af sig selv. De Danske vise sig overalt særdeles høflige og forekommende mod os, og langtfra at føle nogen Uvillie over at vi søge at frigjøre os for deres Indflydelse paa vort Theatervæsen, forundrer man sig blot over at Saadant ikke allerede forlængst er skeet. Med 
H. C. Andersen er jeg bleven bekjendt; han raader mig meget til, fra Dresden af at gjøre en Tour til Wien for at see 
Burg-Theatret; maaskee kommer han paa samme Tid til at opholde sig der, og vil da veilede mig, hvis ikke, saa vil forhaabentlig 
Professor Dahls Assistence kunne udrette det Samme. – I Haab om at den ærede Bestyrelse snarest muligt besvarer denne Skrivelse tegner jeg migP. S.Fra Etatsraad Heiberg har jeg en Hilsen at overbringe saavel til Bestyrelsen som til Herr Byfoged Hanson. –","['H. Nielsen', 'Bruun', 'Hoppe', 'Herr Hoppe', 'Bournonville', 'Gade', 'Herr Hoppe', 'H. Nielsen', 'Bruun', 'H. Nielsen', 'Heiberg', 'Herr Overskou', 'Herr Overskou', 'Carl Bernhard', 'Sichlaus', 'Bruun', 'Doctor Hofmanns', 'Herr Hoppe', 'Holbergs', 'Saadant', 'H. C. Andersen', 'Professor Dahls', 'Heiberg', 'Herr Byfoged Hanson']",da
BREV_B1844-1871ht_B18520530NTB,"Ifredags havde jeg den Fornøielse at modtage Brev fra den ærede Bestyrelse, hvoraf jeg seer, at min Skrivelse af 16de Dennes, ikke dengang var Bestyrelsen ihændekommet; da imidlertid dette nu forlængst maa være skeet, og Bestyrelsen saaledes vil finde sit Brev paa Forhaand besvaret, saa finder jeg det mindre passende at uleilige den ærede Bestyrelse med en Gjentagelse af, hvad jeg i min foregaaende Skrivelse formener tilstrækkeligt udviklet. Jeg skulde derfor have indskrænket mig til i Eet og Alt at henvise til mit forhen Anførte, saafremt ikke adskillige Yttringer i Bestyrelsens Brev havde opfordret mig til at være lidt vidtløftigere. – For det Første formaaer jeg ikke at fatte den ærede Bestyrelses Forundring over, at jeg under de i mit foregaaende Brev udviklede Forholde Intet kunde gjøre for Herr H. Nielsen; at det ved min Afreise blev mig af Bestyrelsen paalagt at tage mig af ham, forholder sig ganske rigtigt; men jeg maa stadigen bede den Betragtning fastholdt, at Herr Nielsen antoges at vilde indtræffe i Kjøbenhavn samtidig med os, og endvidre at det fra min Side forudsattes, at Bestyrelsen vilde ved skrivtelig Henvendelse til Vedkommende hersteds, virke for ham paa samme Maade, som for 
Herr Bruun. Intet af dette er imidlertid skeet. Herr Nielsen har selv, ligesaavel som jeg antaget det nødvendigt, at hans Sag understøttedes af Anbefalinger fra Bestyrelsen; – at den ærede Bestyrelse heller ikke har været fremmed for denne Mening, derom er jeg til Overflod forvisset ved en Erklæring fra Herr H. Nielsen, der gaaer ud paa, at han ved sin Afreise var Ørenvidne til at en af Dhrr: Bestyrere fandt et saadant Skridt nødvendigt. Da nu Herr Nielsen ankom hertil henimod Saisonens Slutning, under Forholde, der vare heel forskjellige fra dem, jeg oprindelig havde forudsat, saa maa jeg fremdeles formene, at der for mig Intet Andet var tilovers, end at indhente Bestyrelsens Ordres. At Herr Nielsen naturligviis ligefuldt har besøgt Theatret, bemærkede jeg allerede i mit forrige Brev, (hans Udgivter herved, ville efter mit Overslag beløbe sig til omtrent 3 a 3 ½ Sp) – dog herom er ikke Talen, – Bestyrelsen har kun urgeret over min «tilsyneladende Forsømmelse,» og for denne Beskyldning haaber jeg tilstrækkeligt at have frigjort mig.Naar den ærede Bestyrelse dernæst formener at «særegne Motiver» have bevæget mig til ikke at virke for Herr Nielsen, saa har jeg hertil kun at svare: Omendskjønt jeg ingenlunde agter at bestride Gyldigheden af Bestyrelsens Grunde til at antage, at der inden Theatrets Omraade findes Folk, som af «særegne Motiver» kunne fristes til at nægte Herr Harald Nielsen deres Assistence, saa maa jeg dog protestere mod at henregnes til disse. – Forøvrigt har jeg dennegang kun lidet at berette. 
Theatrets Forestillinger ophørte ifredags, og igaar tilendebragte vore Skuespillere deres Dandsecoursus. Herr Hoppe er særdeles vel tilfreds med dem, især roser han 
Mad: Bruun meget. I mit forrige Brev anbefalede jeg 
Skuespiller Sichlau, som Commissionær i musikalske Anliggender; af flere Grunde har jeg imidlertid senere truffet et andet Arrangement, og vedlægger 
Kapelmusikus Lanzkys Adresse, til hvem Bestyrelsen vil kunne henvende sig. Skulde Fortegnelsen over den ved det norske Theater beroende Musik være til Hinder for at mit forrige Brev bliver besvaret med omgaaende Post, saa kan denne Liste senere tilstilles Herr Lanzky, som tillige beder opgivet af hvilke Instrumenter Orchestret bestaaer, samt specielt om der ved Samme haves Ventilklarinetter, – han vil da foretage det Fornødne, og besørge Musikalierne afsendte. – Min Afreise herfra kan jeg ikke bestemme forinden jeg modtager Svar paa mit forrige Brev. Bruun har derimod bestemt sig til at afgaa med Dampskibet paa Onsdag, og aflagde derfor ifredags sin Afskedsvisit hos Etatsraad Heiberg. – Herr Overskou har lovet at gjøre mig bekjendt med Theatrets Maskineri o. s. v, hvilket ikke har ladet sig gjøre under Saisonen, forresten er Maskinvæsnet ved Kjøbenhavns Theater ikke af det bedste Slags, og jeg haaber at der i saa Henseende er et langt større Udbytte at hente ved de tydske Theatre. – Med Bruun hjemsender jeg nogle Smaasager som Theatret tiltrænger, ligeledes nogle Bøger. – Jeg har tænkt mig at lægge Reisen herfra over Lübeck til Dresden, hvor jeg haaber paa 
Prof: Dahls Hjelp til at udkaste den hensigtsmæssigste Plan for den øvrige Deel af Touren. Ved min Ankomst til Dresden skal jeg ufortøvet tilskrive den ærede Bestyrelse, og tegner mig indtil daP. S. Over de med Bruun hjemsendte Sager, skulle Regninger i sin Tid blive fremlagte –","['Herr H. Nielsen', 'Herr Nielsen', 'Herr Bruun', 'Herr Nielsen', 'Herr H. Nielsen', 'Herr Nielsen', 'Herr Nielsen', 'Herr Nielsen', 'Herr Harald Nielsen', 'Herr Hoppe', 'Sichlau', 'Kapelmusikus Lanzkys', 'Herr Lanzky', 'Bruun', 'Heiberg', 'Herr Overskou', 'Bruun', ': Dahls', 'daP. S.', 'Bruun']",da
