,source,target
0,Hedevall,Reimann
0,Hedevall,Johan
0,Hedevall,Carl Aamodt
1,Reimann,Hedevall
1,Reimann,Johan
1,Reimann,Carl Aamodt
1,Reimann,Else Sophie Jensdatter Birkedalen
1,Reimann,Hans Jacob
1,Reimann,Pigens
1,Reimann,Linned
2,Johan,Hedevall
2,Johan,Reimann
2,Johan,Carl Aamodt
2,Johan,Mr: Mouthon
2,Johan,Sørensens
3,Carl Aamodt,Hedevall
3,Carl Aamodt,Reimann
3,Carl Aamodt,Johan
4,Mdm Reimann,Muus
5,Muus,Mdm Reimann
7,Else Sophie Jensdatter Birkedalen,Hans Jacob
7,Else Sophie Jensdatter Birkedalen,Pigens
7,Else Sophie Jensdatter Birkedalen,Reimann
7,Else Sophie Jensdatter Birkedalen,Linned
8,Hans Jacob,Else Sophie Jensdatter Birkedalen
8,Hans Jacob,Pigens
8,Hans Jacob,Reimann
8,Hans Jacob,Linned
9,Pigens,Else Sophie Jensdatter Birkedalen
9,Pigens,Hans Jacob
9,Pigens,Reimann
9,Pigens,Linned
10,Linned,Else Sophie Jensdatter Birkedalen
10,Linned,Hans Jacob
10,Linned,Pigens
10,Linned,Reimann
13,Catilinas,C. L
13,Catilinas,Olaf T.
13,Catilinas,Christian Lofthuus
13,Catilinas,Henning Bie
13,Catilinas,Ths Crawfurd
14,C. L,Catilinas
14,C. L,Olaf T.
14,C. L,Christian Lofthuus
14,C. L,Henning Bie
14,C. L,Ths Crawfurd
15,Olaf T.,Catilinas
15,Olaf T.,C. L
15,Olaf T.,Christian Lofthuus
15,Olaf T.,Henning Bie
15,Olaf T.,Ths Crawfurd
16,Christian Lofthuus,Catilinas
16,Christian Lofthuus,C. L
16,Christian Lofthuus,Olaf T.
16,Christian Lofthuus,Henning Bie
16,Christian Lofthuus,Ths Crawfurd
17,Henning Bie,Catilinas
17,Henning Bie,C. L
17,Henning Bie,Olaf T.
17,Henning Bie,Christian Lofthuus
17,Henning Bie,Ths Crawfurd
18,Ths Crawfurd,Catilinas
18,Ths Crawfurd,C. L
18,Ths Crawfurd,Olaf T.
18,Ths Crawfurd,Christian Lofthuus
18,Ths Crawfurd,Henning Bie
21,Heiberg,Herr Overschou
21,Heiberg,Bruun
21,Heiberg,H. Nielsen
21,Heiberg,Bruun
21,Heiberg,Herr Hoppe
21,Heiberg,Bournonville
21,Heiberg,Gade
21,Heiberg,Herr Overskou
21,Heiberg,Carl Bernhard
21,Heiberg,Sichlaus
21,Heiberg,Doctor Hofmanns
21,Heiberg,Holbergs
21,Heiberg,Saadant
21,Heiberg,H. C. Andersen
21,Heiberg,Professor Dahls
21,Heiberg,Herr Byfoged Hanson
21,Heiberg,Herr Harald Nielsen
21,Heiberg,Herr Bruun
21,Heiberg,Herr Hoppe
21,Heiberg,Sichlau
21,Heiberg,Kapelmusikus Lanzkys
21,Heiberg,Herr Lanzky
21,Heiberg,Herr Overskou
21,Heiberg,: Dahls
21,Heiberg,daP. S.
21,Heiberg,Herr Bruun
21,Heiberg,Herr Hoppe
21,Heiberg,"Rømer


"
21,Heiberg,Herr H. Nielsen
21,Heiberg,"Grethe



"
21,Heiberg,"Frahm


"
21,Heiberg,Hrr Isachsen
21,Heiberg,Ehlers
21,Heiberg,"Prom.


"
21,Heiberg,Bucher
21,Heiberg,"Hanne


"
21,Heiberg,Johannessen
21,Heiberg,Høedts
21,Heiberg,Herr Overskou
21,Heiberg,Løkke
21,Heiberg,Holm-Hansens
21,Heiberg,Berner
21,Heiberg,P. Hansen
21,Heiberg,Bille
21,Heiberg,Thoresen
21,Heiberg,Larsen
21,Heiberg,Frøken Marie Thoresen
21,Heiberg,J: Herm: Thoresen
21,Heiberg,Oskar
21,Heiberg,Hall
21,Heiberg,Krieger
21,Heiberg,Monrad
21,Heiberg,Daae
21,Heiberg,Løkke
21,Heiberg,Jensen
21,Heiberg,Berner
21,Heiberg,Berner
21,Heiberg,Molbech
21,Heiberg,Brandes
21,Heiberg,Thoresen
21,Heiberg,"migP. S.
"
21,Heiberg,Skulde Bjørnson
21,Heiberg,Fallesen
21,Heiberg,Thoresen
21,Heiberg,Molbech
21,Heiberg,Edv. Brandes
21,Heiberg,G. Retzius
21,Heiberg,U. v. Feilitzen
21,Heiberg,Valfrid Vasenius
21,Heiberg,Nordahl Rolfsen
21,Heiberg,Hauchs
21,Heiberg,Bruun
21,Heiberg,Parelius
21,Heiberg,Gundersen
21,Heiberg,Tesmans
21,Heiberg,Reimers
21,Heiberg,Ejlert Løvborg
21,Heiberg,Fallesen
21,Heiberg,Nils Lund
22,Herr Overschou,Heiberg
22,Herr Overschou,Bruun
23,Bruun,Heiberg
23,Bruun,Herr Overschou
23,Bruun,H. Nielsen
23,Bruun,Herr Hoppe
23,Bruun,Bournonville
23,Bruun,Gade
23,Bruun,Heiberg
23,Bruun,Herr Overskou
23,Bruun,Carl Bernhard
23,Bruun,Sichlaus
23,Bruun,Doctor Hofmanns
23,Bruun,Holbergs
23,Bruun,Saadant
23,Bruun,H. C. Andersen
23,Bruun,Professor Dahls
23,Bruun,Herr Byfoged Hanson
23,Bruun,Professor Dahl
23,Bruun,Bonnards
23,Bruun,H. Nielsens
23,Bruun,Herr Sorenskriver Neergaard
23,Bruun,Wundartz Troitzh
23,Bruun,Heiberg
23,Bruun,Parelius
23,Bruun,Gundersen
23,Bruun,Tesmans
23,Bruun,Reimers
23,Bruun,Ejlert Løvborg
23,Bruun,Fallesen
23,Bruun,Nils Lund
24,H. Nielsen,Bruun
24,H. Nielsen,Herr Hoppe
24,H. Nielsen,Bournonville
24,H. Nielsen,Gade
24,H. Nielsen,Heiberg
24,H. Nielsen,Herr Overskou
24,H. Nielsen,Carl Bernhard
24,H. Nielsen,Sichlaus
24,H. Nielsen,Doctor Hofmanns
24,H. Nielsen,Holbergs
24,H. Nielsen,Saadant
24,H. Nielsen,H. C. Andersen
24,H. Nielsen,Professor Dahls
24,H. Nielsen,Herr Byfoged Hanson
25,Herr Hoppe,H. Nielsen
25,Herr Hoppe,Bruun
25,Herr Hoppe,Bournonville
25,Herr Hoppe,Gade
25,Herr Hoppe,Heiberg
25,Herr Hoppe,Herr Overskou
25,Herr Hoppe,Carl Bernhard
25,Herr Hoppe,Sichlaus
25,Herr Hoppe,Doctor Hofmanns
25,Herr Hoppe,Holbergs
25,Herr Hoppe,Saadant
25,Herr Hoppe,H. C. Andersen
25,Herr Hoppe,Professor Dahls
25,Herr Hoppe,Herr Byfoged Hanson
25,Herr Hoppe,Herr Harald Nielsen
25,Herr Hoppe,Herr Bruun
25,Herr Hoppe,Sichlau
25,Herr Hoppe,Kapelmusikus Lanzkys
25,Herr Hoppe,Herr Lanzky
25,Herr Hoppe,Heiberg
25,Herr Hoppe,Herr Overskou
25,Herr Hoppe,: Dahls
25,Herr Hoppe,daP. S.
25,Herr Hoppe,Herr Bruun
25,Herr Hoppe,"Rømer


"
25,Herr Hoppe,Herr H. Nielsen
25,Herr Hoppe,"Grethe



"
25,Herr Hoppe,"Frahm


"
25,Herr Hoppe,Hrr Isachsen
25,Herr Hoppe,Ehlers
25,Herr Hoppe,"Prom.


"
25,Herr Hoppe,Bucher
25,Herr Hoppe,"Hanne


"
25,Herr Hoppe,Johannessen
25,Herr Hoppe,Høedts
25,Herr Hoppe,Herr Overskou
25,Herr Hoppe,Heiberg
26,Bournonville,H. Nielsen
26,Bournonville,Bruun
26,Bournonville,Herr Hoppe
26,Bournonville,Gade
26,Bournonville,Heiberg
26,Bournonville,Herr Overskou
26,Bournonville,Carl Bernhard
26,Bournonville,Sichlaus
26,Bournonville,Doctor Hofmanns
26,Bournonville,Holbergs
26,Bournonville,Saadant
26,Bournonville,H. C. Andersen
26,Bournonville,Professor Dahls
26,Bournonville,Herr Byfoged Hanson
27,Gade,H. Nielsen
27,Gade,Bruun
27,Gade,Herr Hoppe
27,Gade,Bournonville
27,Gade,Heiberg
27,Gade,Herr Overskou
27,Gade,Carl Bernhard
27,Gade,Sichlaus
27,Gade,Doctor Hofmanns
27,Gade,Holbergs
27,Gade,Saadant
27,Gade,H. C. Andersen
27,Gade,Professor Dahls
27,Gade,Herr Byfoged Hanson
27,Gade,Heibergs
27,Gade,P: Hansen
27,Gade,Abraham Lincolns
27,Gade,Skuespiller Jørgensens
27,Gade,Jørgensen
27,Gade,Molbech
28,Herr Overskou,H. Nielsen
28,Herr Overskou,Bruun
28,Herr Overskou,Herr Hoppe
28,Herr Overskou,Bournonville
28,Herr Overskou,Gade
28,Herr Overskou,Heiberg
28,Herr Overskou,Carl Bernhard
28,Herr Overskou,Sichlaus
28,Herr Overskou,Doctor Hofmanns
28,Herr Overskou,Holbergs
28,Herr Overskou,Saadant
28,Herr Overskou,H. C. Andersen
28,Herr Overskou,Professor Dahls
28,Herr Overskou,Herr Byfoged Hanson
28,Herr Overskou,Herr Harald Nielsen
28,Herr Overskou,Herr Bruun
28,Herr Overskou,Herr Hoppe
28,Herr Overskou,Sichlau
28,Herr Overskou,Kapelmusikus Lanzkys
28,Herr Overskou,Herr Lanzky
28,Herr Overskou,Heiberg
28,Herr Overskou,: Dahls
28,Herr Overskou,daP. S.
28,Herr Overskou,Herr Bruun
28,Herr Overskou,Herr Hoppe
28,Herr Overskou,"Rømer


"
28,Herr Overskou,Herr H. Nielsen
28,Herr Overskou,"Grethe



"
28,Herr Overskou,"Frahm


"
28,Herr Overskou,Hrr Isachsen
28,Herr Overskou,Ehlers
28,Herr Overskou,"Prom.


"
28,Herr Overskou,Bucher
28,Herr Overskou,"Hanne


"
28,Herr Overskou,Johannessen
28,Herr Overskou,Høedts
28,Herr Overskou,Heiberg
29,Carl Bernhard,H. Nielsen
29,Carl Bernhard,Bruun
29,Carl Bernhard,Herr Hoppe
29,Carl Bernhard,Bournonville
29,Carl Bernhard,Gade
29,Carl Bernhard,Heiberg
29,Carl Bernhard,Herr Overskou
29,Carl Bernhard,Sichlaus
29,Carl Bernhard,Doctor Hofmanns
29,Carl Bernhard,Holbergs
29,Carl Bernhard,Saadant
29,Carl Bernhard,H. C. Andersen
29,Carl Bernhard,Professor Dahls
29,Carl Bernhard,Herr Byfoged Hanson
30,Sichlaus,H. Nielsen
30,Sichlaus,Bruun
30,Sichlaus,Herr Hoppe
30,Sichlaus,Bournonville
30,Sichlaus,Gade
30,Sichlaus,Heiberg
30,Sichlaus,Herr Overskou
30,Sichlaus,Carl Bernhard
30,Sichlaus,Doctor Hofmanns
30,Sichlaus,Holbergs
30,Sichlaus,Saadant
30,Sichlaus,H. C. Andersen
30,Sichlaus,Professor Dahls
30,Sichlaus,Herr Byfoged Hanson
31,Doctor Hofmanns,H. Nielsen
31,Doctor Hofmanns,Bruun
31,Doctor Hofmanns,Herr Hoppe
31,Doctor Hofmanns,Bournonville
31,Doctor Hofmanns,Gade
31,Doctor Hofmanns,Heiberg
31,Doctor Hofmanns,Herr Overskou
31,Doctor Hofmanns,Carl Bernhard
31,Doctor Hofmanns,Sichlaus
31,Doctor Hofmanns,Holbergs
31,Doctor Hofmanns,Saadant
31,Doctor Hofmanns,H. C. Andersen
31,Doctor Hofmanns,Professor Dahls
31,Doctor Hofmanns,Herr Byfoged Hanson
32,Holbergs,H. Nielsen
32,Holbergs,Bruun
32,Holbergs,Herr Hoppe
32,Holbergs,Bournonville
32,Holbergs,Gade
32,Holbergs,Heiberg
32,Holbergs,Herr Overskou
32,Holbergs,Carl Bernhard
32,Holbergs,Sichlaus
32,Holbergs,Doctor Hofmanns
32,Holbergs,Saadant
32,Holbergs,H. C. Andersen
32,Holbergs,Professor Dahls
32,Holbergs,Herr Byfoged Hanson
33,Saadant,H. Nielsen
33,Saadant,Bruun
33,Saadant,Herr Hoppe
33,Saadant,Bournonville
33,Saadant,Gade
33,Saadant,Heiberg
33,Saadant,Herr Overskou
33,Saadant,Carl Bernhard
33,Saadant,Sichlaus
33,Saadant,Doctor Hofmanns
33,Saadant,Holbergs
33,Saadant,H. C. Andersen
33,Saadant,Professor Dahls
33,Saadant,Herr Byfoged Hanson
34,H. C. Andersen,H. Nielsen
34,H. C. Andersen,Bruun
34,H. C. Andersen,Herr Hoppe
34,H. C. Andersen,Bournonville
34,H. C. Andersen,Gade
34,H. C. Andersen,Heiberg
34,H. C. Andersen,Herr Overskou
34,H. C. Andersen,Carl Bernhard
34,H. C. Andersen,Sichlaus
34,H. C. Andersen,Doctor Hofmanns
34,H. C. Andersen,Holbergs
34,H. C. Andersen,Saadant
34,H. C. Andersen,Professor Dahls
34,H. C. Andersen,Herr Byfoged Hanson
34,H. C. Andersen,Adolf Strodtmann
34,H. C. Andersen,Mr: Edmund Gosse
34,H. C. Andersen,Chr: Hammer
34,H. C. Andersen,G: Brandes
34,H. C. Andersen,Maries
34,H. C. Andersen,Thomas
34,H. C. Andersen,M. Goldschmidt
34,H. C. Andersen,Susanna
34,H. C. Andersen,Sigurd
35,Professor Dahls,H. Nielsen
35,Professor Dahls,Bruun
35,Professor Dahls,Herr Hoppe
35,Professor Dahls,Bournonville
35,Professor Dahls,Gade
35,Professor Dahls,Heiberg
35,Professor Dahls,Herr Overskou
35,Professor Dahls,Carl Bernhard
35,Professor Dahls,Sichlaus
35,Professor Dahls,Doctor Hofmanns
35,Professor Dahls,Holbergs
35,Professor Dahls,Saadant
35,Professor Dahls,H. C. Andersen
35,Professor Dahls,Herr Byfoged Hanson
36,Herr Byfoged Hanson,H. Nielsen
36,Herr Byfoged Hanson,Bruun
36,Herr Byfoged Hanson,Herr Hoppe
36,Herr Byfoged Hanson,Bournonville
36,Herr Byfoged Hanson,Gade
36,Herr Byfoged Hanson,Heiberg
36,Herr Byfoged Hanson,Herr Overskou
36,Herr Byfoged Hanson,Carl Bernhard
36,Herr Byfoged Hanson,Sichlaus
36,Herr Byfoged Hanson,Doctor Hofmanns
